#Data.in.Byte;Gap.in.Byte;Datasieving.1.on;Buffer.in.MByte;Performance.in.MByte/s;Prediction.in.MByte/s
#Data;Gap;Datasieving;Buffer;Performance
#Byte;Byte;on/off;MByte;MByte/s
2048;0;1;1;88.396244
2048;0;1;1;89.378
2048;0;1;1;89.711509
2048;0;1;1;89.27395
2048;0;1;1;90.314749
2048;32;1;1;77.551157
2048;32;1;1;78.066571
2048;32;1;1;77.349768
2048;32;1;1;76.818316
2048;32;1;1;77.949201
2048;64;1;1;77.578059
2048;64;1;1;76.943973
2048;64;1;1;77.934646
2048;64;1;1;77.724875
2048;64;1;1;75.960775
2048;128;1;1;77.323671
2048;128;1;1;76.217279
2048;128;1;1;77.001881
2048;128;1;1;77.371401
2048;128;1;1;78.331217
2048;256;1;1;76.53614
2048;256;1;1;76.253567
2048;256;1;1;77.186296
2048;256;1;1;76.651083
2048;256;1;1;75.095064
2048;512;1;1;74.695284
2048;512;1;1;72.606522
2048;512;1;1;75.351745
2048;512;1;1;74.974017
2048;512;1;1;74.509981
2048;1024;1;1;68.944229
2048;1024;1;1;71.522352
2048;1024;1;1;71.792877
2048;1024;1;1;71.620103
2048;1024;1;1;71.887665
2048;2048;1;1;48.667405
2048;2048;1;1;49.147557
2048;2048;1;1;49.318168
2048;2048;1;1;49.886577
2048;2048;1;1;51.243856
2048;4096;1;1;33.539053
2048;4096;1;1;33.003561
2048;4096;1;1;33.274935
2048;4096;1;1;32.67717
2048;4096;1;1;32.773884
2048;6144;1;1;24.581973
2048;6144;1;1;24.625815
2048;6144;1;1;24.762488
2048;6144;1;1;24.414165
2048;6144;1;1;25.488546
2048;8192;1;1;19.97808
2048;8192;1;1;20.089899
2048;8192;1;1;20.231316
2048;8192;1;1;19.669666
2048;8192;1;1;20.000705
2048;10240;1;1;16.544857
2048;10240;1;1;16.649861
2048;10240;1;1;16.635192
2048;10240;1;1;16.636184
2048;10240;1;1;16.549915
2048;12288;1;1;14.102523
2048;12288;1;1;14.191167
2048;12288;1;1;13.782335
2048;12288;1;1;13.852344
2048;12288;1;1;14.273159
2048;14336;1;1;12.444424
2048;14336;1;1;12.157998
2048;14336;1;1;12.409042
2048;14336;1;1;12.039422
2048;14336;1;1;12.302577
2048;16384;1;1;10.93891
2048;16384;1;1;11.009618
2048;16384;1;1;10.976282
2048;16384;1;1;10.864361
2048;16384;1;1;10.537989
2048;18432;1;1;9.756762
2048;18432;1;1;10.002637
2048;18432;1;1;9.632754
2048;18432;1;1;9.582955
2048;18432;1;1;9.554491
2048;20480;1;1;9.027571
2048;20480;1;1;8.933954
2048;20480;1;1;8.956441
2048;20480;1;1;8.856038
2048;20480;1;1;8.997689
2048;22528;1;1;8.200892
2048;22528;1;1;8.491905
2048;22528;1;1;8.189361
2048;22528;1;1;8.241869
2048;22528;1;1;8.198067
2048;0;0;1;89.79498
2048;0;0;1;90.985594
2048;0;0;1;89.597948
2048;0;0;1;89.6125
2048;0;0;1;88.20702
20480;0;1;1;98.934911
20480;0;1;1;100.143005
20480;0;1;1;97.644259
20480;0;1;1;97.419367
20480;0;1;1;98.037296
20480;320;1;1;93.450037
20480;320;1;1;92.842041
20480;320;1;1;97.182996
20480;320;1;1;96.174335
20480;320;1;1;96.8133
20480;640;1;1;93.521026
20480;640;1;1;92.945857
20480;640;1;1;94.64723
20480;640;1;1;93.647063
20480;640;1;1;92.635767
20480;1280;1;1;92.096165
20480;1280;1;1;91.991351
20480;1280;1;1;91.078748
20480;1280;1;1;91.355774
20480;1280;1;1;91.228592
20480;2560;1;1;86.280093
20480;2560;1;1;84.904132
20480;2560;1;1;86.344943
20480;2560;1;1;85.830776
20480;2560;1;1;84.666939
20480;5120;1;1;76.553431
20480;5120;1;1;77.008409
20480;5120;1;1;78.312088
20480;5120;1;1;76.948288
20480;5120;1;1;75.416092
20480;102400;1;1;12.842297
20480;102400;1;1;12.186122
20480;102400;1;1;11.692417
20480;102400;1;1;11.936225
20480;102400;1;1;12.448937
20480;122880;1;1;10.588848
20480;122880;1;1;10.626128
20480;122880;1;1;10.965534
20480;122880;1;1;10.875093
20480;122880;1;1;10.287934
20480;143360;1;1;10.742542
20480;143360;1;1;10.293882
20480;143360;1;1;10.223359
20480;143360;1;1;10.693845
20480;143360;1;1;10.355903
20480;163840;1;1;5.46904
20480;163840;1;1;6.815479
20480;163840;1;1;7.429973
20480;163840;1;1;6.784362
20480;163840;1;1;7.353232
20480;184320;1;1;6.083781
20480;184320;1;1;7.430775
20480;184320;1;1;7.526022
20480;184320;1;1;7.623781
20480;184320;1;1;7.449005
20480;204800;1;1;8.377786
20480;204800;1;1;8.934762
20480;204800;1;1;8.733922
20480;204800;1;1;8.951104
20480;204800;1;1;9.090438
20480;225280;1;1;8.299644
20480;225280;1;1;8.059033
20480;225280;1;1;7.986363
20480;225280;1;1;7.927951
20480;225280;1;1;8.598781
20480;0;0;1;97.107402
20480;0;0;1;99.111121
20480;0;0;1;99.009415
20480;0;0;1;96.695487
20480;0;0;1;97.936856
20480;320;0;1;19.021547
20480;320;0;1;19.164559
20480;320;0;1;19.121318
20480;320;0;1;18.908701
20480;320;0;1;19.059907
20480;640;0;1;19.406272
20480;640;0;1;19.281249
20480;640;0;1;19.315438
20480;640;0;1;19.287648
20480;640;0;1;19.3086
20480;1280;0;1;19.835664
20480;1280;0;1;19.872627
20480;1280;0;1;19.827844
20480;1280;0;1;19.895126
20480;1280;0;1;19.893967
20480;2560;0;1;20.942945
20480;2560;0;1;20.871479
20480;2560;0;1;20.924735
20480;2560;0;1;20.923872
20480;2560;0;1;20.883025
20480;5120;0;1;22.722491
20480;5120;0;1;22.907601
20480;5120;0;1;22.893943
20480;5120;0;1;22.858487
20480;5120;0;1;22.80656
20480;10240;0;1;26.486464
20480;10240;0;1;26.455736
20480;10240;0;1;26.583225
20480;10240;0;1;26.541643
20480;10240;0;1;26.51054
20480;20480;0;1;31.868972
20480;20480;0;1;31.475813
20480;20480;0;1;32.017346
20480;20480;0;1;31.902454
20480;20480;0;1;31.607098
20480;40960;0;1;31.9537
20480;40960;0;1;32.02465
20480;40960;0;1;32.286276
20480;40960;0;1;32.316293
20480;40960;0;1;32.052084
20480;61440;0;1;24.539079
20480;61440;0;1;24.976359
20480;61440;0;1;24.468792
20480;61440;0;1;23.996856
20480;61440;0;1;24.56511
20480;81920;0;1;6.338054
20480;81920;0;1;6.33723
20480;81920;0;1;6.261152
20480;81920;0;1;6.236043
20480;81920;0;1;6.247811
20480;102400;0;1;7.534378
20480;102400;0;1;7.80319
20480;102400;0;1;7.962084
20480;102400;0;1;7.635202
20480;102400;0;1;7.587273
20480;122880;0;1;6.027631
20480;122880;0;1;6.034355
20480;122880;0;1;6.002545
20480;122880;0;1;6.130596
20480;122880;0;1;6.052453
20480;143360;0;1;6.70838
20480;143360;0;1;6.657031
20480;143360;0;1;7.022284
20480;143360;0;1;6.731258
20480;143360;0;1;6.794597
20480;163840;0;1;6.147056
20480;163840;0;1;6.269917
20480;163840;0;1;6.137069
20480;163840;0;1;6.240134
20480;163840;0;1;6.190864
20480;184320;0;1;8.611759
20480;184320;0;1;8.495883
20480;184320;0;1;8.170875
20480;184320;0;1;8.287344
20480;184320;0;1;8.381528
20480;204800;0;1;6.095363
20480;204800;0;1;6.032633
20480;204800;0;1;5.986072
20480;204800;0;1;6.170393
20480;204800;0;1;6.164734
20480;225280;0;1;6.426192
20480;225280;0;1;6.823548
20480;225280;0;1;6.481254
20480;225280;0;1;6.399946
20480;225280;0;1;6.654448
32768;0;1;1;100.018059
32768;0;1;1;98.191255
32768;0;1;1;100.117031
32768;0;1;1;97.557489
32768;0;1;1;99.845953
32768;512;1;1;91.822612
32768;512;1;1;94.21672
32768;512;1;1;93.690748
32768;512;1;1;95.086122
32768;512;1;1;96.532115
32768;1024;1;1;93.794098
32768;1024;1;1;94.005122
32768;1024;1;1;94.976116
32768;1024;1;1;91.971631
32768;1024;1;1;95.59197
32768;2048;1;1;88.535083
32768;2048;1;1;90.797393
32768;2048;1;1;90.870426
32768;2048;1;1;90.002112
32768;2048;1;1;89.130055
32768;4096;1;1;84.558633
32768;4096;1;1;86.191993
32768;4096;1;1;87.635526
32768;4096;1;1;86.116291
32768;4096;1;1;85.596132
32768;8192;1;1;78.274391
32768;8192;1;1;77.493561
32768;8192;1;1;77.375763
32768;8192;1;1;77.909929
32768;8192;1;1;78.621632
32768;16384;1;1;64.368705
32768;16384;1;1;65.80823
32768;16384;1;1;66.320411
32768;16384;1;1;64.725892
32768;16384;1;1;64.943023
32768;32768;1;1;48.729357
32768;32768;1;1;48.293636
32768;32768;1;1;47.388771
32768;32768;1;1;49.014775
32768;32768;1;1;49.596052
32768;65536;1;1;19.391393
32768;65536;1;1;20.225454
32768;65536;1;1;19.827664
32768;65536;1;1;19.815193
32768;65536;1;1;19.549222
32768;98304;1;1;17.097691
32768;98304;1;1;16.77332
32768;98304;1;1;17.424712
32768;98304;1;1;16.475076
32768;98304;1;1;17.340186
32768;131072;1;1;17.548577
32768;131072;1;1;17.298044
32768;131072;1;1;16.932166
32768;131072;1;1;17.502126
32768;131072;1;1;17.35853
32768;163840;1;1;17.452212
32768;163840;1;1;16.072302
32768;163840;1;1;16.257307
32768;163840;1;1;15.927748
32768;163840;1;1;16.556225
32768;196608;1;1;13.828245
32768;196608;1;1;14.634241
32768;196608;1;1;14.4507
32768;196608;1;1;14.918083
32768;196608;1;1;14.620095
32768;229376;1;1;11.988809
32768;229376;1;1;12.248855
32768;229376;1;1;12.103658
32768;229376;1;1;11.809001
32768;229376;1;1;12.044711
32768;262144;1;1;8.173579
32768;262144;1;1;8.93949
32768;262144;1;1;8.880179
32768;262144;1;1;9.154827
32768;262144;1;1;8.787598
32768;294912;1;1;10.53266
32768;294912;1;1;10.246822
32768;294912;1;1;10.771297
32768;294912;1;1;9.967032
32768;294912;1;1;10.46778
32768;327680;1;1;10.736452
32768;327680;1;1;10.267614
32768;327680;1;1;10.008008
32768;327680;1;1;9.993345
32768;327680;1;1;9.782421
32768;360448;1;1;9.502112
32768;360448;1;1;9.544585
32768;360448;1;1;8.975131
32768;360448;1;1;9.359113
32768;360448;1;1;9.318471
32768;0;0;1;97.092707
32768;0;0;1;98.37583
32768;0;0;1;99.723776
32768;0;0;1;97.085292
32768;0;0;1;97.865851
32768;512;0;1;44.572308
32768;512;0;1;44.559247
32768;512;0;1;44.821539
32768;512;0;1;44.982147
32768;512;0;1;44.820528
32768;1024;0;1;45.334878
32768;1024;0;1;45.27359
32768;1024;0;1;45.361152
32768;1024;0;1;45.550448
32768;1024;0;1;45.128629
32768;2048;0;1;45.980808
32768;2048;0;1;45.999992
32768;2048;0;1;46.357677
32768;2048;0;1;46.026648
32768;2048;0;1;46.101365
32768;4096;0;1;47.909204
32768;4096;0;1;47.520955
32768;4096;0;1;47.184043
32768;4096;0;1;47.867645
32768;4096;0;1;47.394163
32768;8192;0;1;50.660948
32768;8192;0;1;50.395917
32768;8192;0;1;50.939065
32768;8192;0;1;50.160662
32768;8192;0;1;50.823175
32768;16384;0;1;52.328371
32768;16384;0;1;52.886968
32768;16384;0;1;52.737934
32768;16384;0;1;53.842663
32768;16384;0;1;53.432682
32768;32768;0;1;49.708254
32768;32768;0;1;48.617515
32768;32768;0;1;49.133253
32768;32768;0;1;49.171632
32768;32768;0;1;49.533056
32768;65536;0;1;12.652078
32768;65536;0;1;12.540043
32768;65536;0;1;12.485903
32768;65536;0;1;12.429423
32768;65536;0;1;11.9682
32768;98304;0;1;12.539156
32768;98304;0;1;12.480346
32768;98304;0;1;12.19397
32768;98304;0;1;12.550986
32768;98304;0;1;13.033571
32768;131072;0;1;12.108455
32768;131072;0;1;12.028189
32768;131072;0;1;12.442037
32768;131072;0;1;12.118564
32768;131072;0;1;11.789567
32768;163840;0;1;13.296427
32768;163840;0;1;12.84485
32768;163840;0;1;12.949327
32768;163840;0;1;12.529222
32768;163840;0;1;12.633881
32768;196608;0;1;13.106398
32768;196608;0;1;12.909569
32768;196608;0;1;13.148693
32768;196608;0;1;12.747166
32768;196608;0;1;12.57932
32768;229376;0;1;14.473212
32768;229376;0;1;13.184793
32768;229376;0;1;13.635131
32768;229376;0;1;14.498205
32768;229376;0;1;13.232085
32768;262144;0;1;11.557603
32768;262144;0;1;11.569869
